"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[21: multipartResolve(Bethel DE US)]')",[1124]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'support')","[94004, 94968, 312745, 313709]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'disregard')","[118867, 119708, 337608, 338449]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'regrettable')","[92004, 92923, 310745, 311664]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '(TFI),')","[223942, 224606, 442683, 443347]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Diarra;')","[91929, 92851, 310670, 311592]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'disruptive')","[199573, 200237, 418314, 418978]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Qaeda-linked')","[62581, 63418, 82433, 83301, 196410, 197026, 281322, 282159, 301174, 302042, 415151, 415767]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'followed')","[211141, 212352, 429882, 431093]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testAncestryLoadMode_ManualLoad(com.bericotech.clavin.gazetteer.query.LuceneGazetteerTest)')","[5326, 8718]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[28: multipartResolve([London, ENG, GB] 2,643,743)]')",[2991]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'standards')","[207723, 208409, 426464, 427150]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'carry')","[35672, 36059, 186177, 186879, 254413, 254800, 404918, 405620]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'with,')","[207823, 208505, 426564, 427246]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'bogged')","[218354, 219396, 437095, 438137]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[12: multipartResolve([Boston, Massachusetts, United States] 4,930,956)]')",[2287]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'on')","[19241, 19811, 31205, 31774, 37335, 37978, 44444, 45038, 48224, 48274, 49213, 49261, 55203, 55788, 56429, 56554, 57262, 57382, 61423, 62144, 65812, 66155, 69909, 70178, 92429, 93331, 99256, 99506, 100586, 100826, 107732, 108406, 109041, 109595, 116738, 117296, 123955, 124030, 125014, 125086, 126250, 126880, 130451, 131284, 132318, 132518, 133369, 133561, 135940, 136265, 136627, 136939, 137849, 138515, 147397, 148360, 150513, 151298, 154707, 155526, 174847, 176393, 187799, 188694, 189525, 190377, 193889, 194825, 199673, 200333, 201608, 202194, 210841, 212064, 237982, 238552, 249946, 250515, 256076, 256719, 263185, 263779, 266965, 267015, 267954, 268002, 273944, 274529, 275170, 275295, 276003, 276123, 280164, 280885, 284553, 284896, 288650, 288919, 311170, 312072, 317997, 318247, 319327, 319567, 326473, 327147, 327782, 328336, 335479, 336037, 342696, 342771, 343755, 343827, 344991, 345621, 349192, 350025, 351059, 351259, 352110, 352302, 354681, 355006, 355368, 355680, 356590, 357256, 366138, 367101, 369254, 370039, 373448, 374267, 393588, 395134, 406540, 407435, 408266, 409118, 412630, 413566, 418414, 419074, 420349, 420935, 429582, 430805]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Secretariat.')","[103766, 104054, 322507, 322795]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'everyone,')","[127311, 127752, 346052, 346493]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'De')","[226642, 227449, 445383, 446190]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[11: multipartResolve([Reston, Virginia, CA] null)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2266, 6648]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'indicated')","[159352, 159974, 378093, 378715]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'anti-virus')","[204974, 205292, 423715, 424033]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'should')","[143556, 143753, 362297, 362494]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'seems')","[29426, 30249, 201308, 201906, 248167, 248990, 420049, 420647]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'pro-Somali')","[159377, 159998, 378118, 378739]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'most')","[11290, 11707, 230031, 230448]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Wafula,')","[102177, 103002, 320918, 321743]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'successfully')","[113594, 114115, 332335, 332856]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Hague')","[70560, 71002, 289301, 289743]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'defectors,')","[41150, 41512, 259891, 260253]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'groups')","[94429, 95376, 195676, 196065, 197510, 198106, 204189, 204559, 313170, 314117, 414417, 414806, 416251, 416847, 422930, 423300]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'concerted')","[29576, 30393, 248317, 249134]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'rebels')","[62606, 63442, 152071, 152437, 187274, 188190, 281347, 282183, 370812, 371178, 406015, 406931]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Pro-government')","[137924, 138587, 356665, 357328]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'claim')","[142822, 143217, 361563, 361958]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'participants')","[107132, 107830, 325873, 326571]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'accountability')","[219761, 220331, 438502, 439072]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'six')","[78695, 79512, 131943, 133009, 170313, 171130, 297436, 298253, 350684, 351750, 389054, 389871]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Islamists')","[142772, 143169, 361513, 361910]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'he')","[17653, 18014, 28673, 29230, 46546, 47405, 127136, 127584, 128343, 129378, 173886, 174517, 176022, 177521, 236394, 236755, 247414, 247971, 265287, 266146, 345877, 346325, 347084, 348119, 392627, 393258, 394763, 396262]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'language')","[212941, 213453, 431682, 432194]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'whilst')","[221980, 222923, 440721, 441664]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'ongoing')","[146523, 146843, 153758, 154389, 225365, 225950, 365264, 365584, 372499, 373130, 444106, 444691]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testIsAncestryResolved_FullResolution(com.bericotech.clavin.gazetteer.BasicGeoNameTest)')","[4950, 8361]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'difference')","[17478, 17846, 236219, 236587]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '“We')","[83759, 84247, 302500, 302988]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'immediate')","[43595, 44222, 262336, 262963]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'presidential')","[75364, 76229, 166982, 167847, 294105, 294970, 385723, 386588]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'UN')","[65076, 65421, 283817, 284162]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'some')","[94604, 95544, 205960, 206869, 217879, 218940, 313345, 314285, 424701, 425610, 436620, 437681]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'raid')","[54057, 54756, 272798, 273497]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'frustrated')","[62756, 63586, 281497, 282327]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'requested')","[23592, 24015, 242333, 242756]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Beledweyne,')","[48574, 49549, 267315, 268290]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveLocations_WhitespaceInput(com.bericotech.clavin.gazetteer.query.LuceneGazetteerTest)')","[5494, 8886]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'cowardly')","[92329, 93235, 120708, 121167, 175397, 176921, 311070, 311976, 339449, 339908, 394138, 395662]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'wars')","[192562, 193197, 411303, 411938]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'two')","[24425, 25273, 34667, 35155, 48024, 49021, 74564, 75461, 81883, 82773, 149195, 149690, 166182, 167079, 222455, 223379, 243166, 244014, 253408, 253896, 266765, 267762, 293305, 294202, 300624, 301514, 367936, 368431, 384923, 385820, 441196, 442120]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'constitution,')","[29976, 30777, 248717, 249518]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'milestone')","[205710, 206629, 424451, 425370]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'areas')","[24775, 25609, 100056, 101354, 243516, 244350, 318797, 320095]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Terrible')","[203991, 204040, 422732, 422781]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'police')","[58296, 58897, 58946, 59170, 277037, 277638, 277687, 277911]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Mohamed,')","[83709, 84199, 302450, 302940]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Family')","[37260, 37906, 38571, 38718, 256001, 256647, 257312, 257459]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'prevalent')","[27393, 27887, 246134, 246628]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Bar-kulan')","[135790, 136483, 145844, 146350, 354531, 355224, 364585, 365091]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'see')","[179441, 180312, 398182, 399053]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'holders')","[224092, 224750, 442833, 443491]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[14: multipartResolve(Oxford Oxfordshire United Kingdom)]')",[816]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Maj')","[157575, 157997, 158820, 159253, 376316, 376738, 377561, 377994]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[13: multipartResolve([Haverhill, Massachusetts, United States] 4,939,085)]')",[2331]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'becoming')","[19466, 20027, 181761, 182700, 238207, 238768, 400502, 401441]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[18: multipartResolve(Boston Davao Oriental Philippines)]')",[992]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[16: multipartResolve(London Ontario Canada)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[927, 5988]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Defence')","[52361, 53037, 156436, 156778, 271102, 271778, 375177, 375519]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'stronghold')","[157085, 157332, 159727, 160334, 375826, 376073, 378468, 379075]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'While')","[62281, 63130, 281022, 281871]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'reason;')","[216455, 217097, 435196, 435838]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[1: multipartResolve([Springfield, Illinois, United States] 4,250,542)]')",[1803]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'soft')","[76378, 77198, 167996, 168816, 295119, 295939, 386737, 387557]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'work')","[114660, 115082, 122506, 123147, 333401, 333823, 341247, 341888]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[6: multipartResolve(Reston Fairfax County United States)](com.bericotech.clavin.resolver.multipart.MultipartLocationResolverTest)')","[487, 5768]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'recent')","[63972, 64295, 282713, 283036]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'show')","[18163, 18708, 236904, 237449]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'stream')","[200941, 201138, 419682, 419879]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'MPs')","[81908, 82797, 300649, 301538]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'high')","[107632, 108310, 326373, 327051]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'zones')","[186127, 186831, 404868, 405572]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Twitter,')","[197860, 198442, 416601, 417183]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'fronts.')","[138299, 138947, 357040, 357688]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'tempted')","[217679, 218748, 436420, 437489]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'receive')","[12023, 12419, 230764, 231160]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testGetDefault(com.bericotech.clavin.GeoParserFactoryTest)')","[4658, 8088]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'confirmed')","[33523, 33744, 36456, 36968, 81833, 82725, 90864, 91408, 252264, 252485, 255197, 255709, 300574, 301466, 309605, 310149]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'minister')","[21709, 21884, 22397, 22565, 70510, 70954, 173611, 174253, 240450, 240625, 241138, 241306, 289251, 289695, 392352, 392994]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'donor,')","[61173, 61904, 279914, 280645]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'earlier')","[145869, 146374, 364610, 365115]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[28: multipartResolve([London, ENG, GB] 2,643,743)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[3014, 7022]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'recovery.The')","[86899, 88456, 305640, 307197]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'meeting')","[26091, 26416, 26689, 27001, 46396, 47261, 55153, 55740, 99031, 99431, 100370, 100754, 101677, 102522, 105872, 106540, 213695, 213893, 244832, 245157, 245430, 245742, 265137, 266002, 273894, 274481, 317772, 318172, 319111, 319495, 320418, 321263, 324613, 325281, 432436, 432634]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'off')","[32333, 32903, 251074, 251644]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testSetParent_InvalidParent(com.bericotech.clavin.gazetteer.BasicGeoNameTest)')","[4824, 8235]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[36: multipartResolve([, , UK] 2,635,167)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[3366, 7198]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'terrorize')","[84639, 85056, 303380, 303797]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'end.')","[208073, 208745, 426814, 427486]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'while')","[21659, 22349, 31530, 32086, 34517, 35011, 73273, 74105, 93829, 94800, 149470, 149954, 158645, 159085, 164891, 165723, 199348, 200021, 209170, 209878, 220988, 221479, 240400, 241090, 250271, 250827, 253258, 253752, 292014, 292846, 312570, 313541, 368211, 368695, 377386, 377826, 383632, 384464, 418089, 418762, 427911, 428619, 439729, 440220]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'committee')","[193864, 194801, 412605, 413542]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'EU')","[21559, 22253, 23055, 23374, 23642, 24063, 26241, 26833, 28423, 28990, 61223, 61952, 240300, 240994, 241796, 242115, 242383, 242804, 244982, 245574, 247164, 247731, 279964, 280693]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'among')","[19616, 20171, 128493, 129522, 153483, 154125, 219911, 220475, 238357, 238912, 347234, 348263, 372224, 372866, 438652, 439216]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Nur,')","[14183, 15146, 73523, 74345, 165141, 165963, 232924, 233887, 292264, 293086, 383882, 384704]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'ministers,')","[86024, 87616, 304765, 306357]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'beneficiaries')","[11973, 12371, 230714, 231112]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'criminals,')","[73098, 73937, 164716, 165555, 291839, 292678, 383457, 384296]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'pursuit.')","[136315, 136987, 355056, 355728]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'devices')","[36606, 37112, 255347, 255853]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'responsible')","[45632, 45928, 264373, 264669]"
"('NameFinderME.java', 'opennlp.tools.namefind.NameFinderME', 'extractNameType', '(.+)-\\w+', 'location-start')","[27243, 29376, 32208, 33423, 41586, 47949, 49935, 57696, 62256, 69733, 69759, 97260, 101552, 110270, 110296, 125750, 131718, 133851, 142697, 150138, 151794, 151820, 151846, 152607, 153283, 157010, 160590, 161988, 162896, 162922, 171242, 187049, 188950, 192187, 193487, 193513, 193539, 226192, 245984, 248117, 250949, 252164, 260327, 266690, 268676, 276437, 280997, 288474, 288500, 316001, 320293, 329011, 329037, 344491, 350459, 352592, 361438, 368879, 370535, 370561, 370587, 371348, 372024, 375751, 379331, 380729, 381637, 381663, 389983, 405790, 407691, 410928, 412228, 412254, 412280, 444933]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'expressed')","[86674, 88240, 171417, 171885, 305415, 306981, 390158, 390626]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Information,')","[9193, 9763, 14008, 14978, 83534, 84031, 227934, 228504, 232749, 233719, 302275, 302772]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[15: multipartResolve([Haverhill, England, United Kingdom] 2,647,310)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2442, 6736]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Stabilization')","[99881, 101186, 106122, 106780, 110546, 111436, 113669, 114187, 318622, 319927, 324863, 325521, 329287, 330177, 332410, 332928]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'RUSI,')","[190752, 191451, 409493, 410192]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'participation')","[214437, 215221, 433178, 433962]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'gains')","[62356, 63202, 281097, 281943]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'heartless')","[126375, 127000, 345116, 345741]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'properly')","[207773, 208457, 426514, 427198]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'London')","[26391, 26977, 56529, 57358, 245132, 245718, 275270, 276099]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'This')","[118667, 119516, 122306, 122955, 337408, 338257, 341047, 341696]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'youth')","[11490, 11899, 230231, 230640]"
"('BasicGeoName.java', 'com.bericotech.clavin.gazetteer.BasicGeoName', 'getAdminLevel', '^ADM(\\d)H?$', 'ADM4')","[446603, 446717, 446743, 446798, 446855, 446914, 446944, 446971, 446997, 447052, 447109, 447168, 447198, 447226, 447344, 447607, 447752, 448023, 448286, 448549, 448694, 448994, 449298, 449588, 449858, 450138, 450401, 450519, 450637, 450900, 451018, 451136, 451254, 451517, 451635, 451752, 451866, 451980, 452094, 452208, 452322, 452436, 452550, 452665, 452928, 453046, 453309, 453572, 453690, 453953, 454098, 454398, 454702, 454992, 455288, 455551, 455669, 455787, 455904, 456019, 456162, 456450, 456713]"
